Ticket_Key,Summary,Status,Assignee,Urgency,Priority,JIRA_URL,TriQ_Score,Quality_Issues,Client_CID,Issue_Category,Action_Required,Refined_Category
TRI-2308,Enhance Billing Calculat...,Waiting for support,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2308,4.0,UNASSIGNED,,Billing System,ASSIGN TO SPECIALIST,Billing System
TRI-2307,Support Accurate Tax Cal...,Waiting for support,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2307,4.0,UNASSIGNED,,Other,ASSIGN TO SPECIALIST,Rate & Pricing
TRI-2306,Enhance Import Process w...,Waiting for support,,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2306,4.0,UNASSIGNED,,Integration,ASSIGN TO SPECIALIST,Integration
TRI-2305,Improve Accuracy and Err...,Waiting for support,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2305,4.0,UNASSIGNED,,Enhancement,ASSIGN TO SPECIALIST,Enhancement
TRI-2304,The Customer Custom Fiel...,Waiting for support,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2304,4.0,UNASSIGNED,,Other,ASSIGN TO SPECIALIST,Account Management
TRI-2303,Client Data Pull,Resolved,stephanie.williams@munib@munibilling.com,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2303,5.5,VAGUE SUMMARY,,Data Management,RESOLVED,Data Management
TRI-2302,CID 1760:West Cocalico T...,In Progress,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2302,4.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,1760.0,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
TRI-2301,CID 1801 - Hope Water: S...,In Progress,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2301,8.3,Standard quality,1801.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2299,Stinson Water CID 1600 A...,Waiting for customer,clyde.qasolli@munibillin@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2299,7.0,HIGH URGENCY LACKS DETAIL; WAITING WITHOUT PROPER INVESTIGATION,1600.0,Other,STANDARD PROCESSING,Uncategorized
TRI-2298,Provide file format deta...,In Progress,katilyn.wiggins@munibill@munibilling.com,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2298,6.3,Standard quality,,Data Management,STANDARD PROCESSING,Data Management
TRI-2297,CID 1801 - Hope Water: S...,Resolved,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2297,8.5,Standard quality,1801.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2296,CID- 1823 - City of Buff...,Closed,katilyn.wiggins@munibill@munibilling.com,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2296,7.5,CRITICAL URGENCY LACKS DETAIL,1823.0,Other,RESOLVED,Uncategorized
TRI-2295,CID-1788-Global request ...,Waiting for customer,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2295,7.0,WAITING WITHOUT PROPER INVESTIGATION,1788.0,System Performance,STANDARD PROCESSING,System Performance
TRI-2294,Enhance Late Charge Temp...,Pending,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2294,4.0,UNASSIGNED,,Billing System,ASSIGN TO SPECIALIST,Billing System
TRI-2293,Adjustments for Misappli...,Pending,,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2293,4.0,UNASSIGNED,,Other,ASSIGN TO SPECIALIST,Portal Issues
TRI-2292,Balance Transfer Functio...,Pending,,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2292,4.0,UNASSIGNED,,Other,ASSIGN TO SPECIALIST,Data Issues
TRI-2291,Pre-Billing Mass Communi...,Pending,,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2291,4.0,UNASSIGNED,,Billing System,ASSIGN TO SPECIALIST,Billing System
TRI-2290,CID 1136 Rutland Stateme...,Resolved,clyde.qasolli@munibillin@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2290,7.5,HIGH URGENCY LACKS DETAIL,1136.0,Other,RESOLVED,Uncategorized
TRI-2289,CID 1567: Washington Cou...,Resolved,bhavana.savaram@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2289,8.5,Standard quality,1567.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2288,CID: 229- Reads Calculat...,Waiting for customer,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2288,8.0,WAITING WITHOUT PROPER INVESTIGATION,229.0,Other,USE AS TEMPLATE,Calculation Issues
TRI-2287,Snowmass Watersmart File...,Waiting for customer,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2287,6.0,WAITING WITHOUT PROPER INVESTIGATION,,Integration,STANDARD PROCESSING,Integration
TRI-2286,CID 1575- Customer Porta...,Waiting for customer,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2286,5.0,UNASSIGNED; WAITING WITHOUT PROPER INVESTIGATION,1575.0,Other,ASSIGN TO SPECIALIST,Account Management
TRI-2285,CID 1843 - Hope Water - ...,Closed,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2285,7.5,Standard quality,1843.0,Other,RESOLVED,Uncategorized
TRI-2284,CID: 1769- Autopay Info ...,In Progress,drago.todorov@munibillin@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2284,8.3,Standard quality,1769.0,Autopay System,USE AS TEMPLATE,Autopay System
TRI-2283,Fortress Integration Sy...,Resolved,jason.moore@munibilling.@munibilling.com,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2283,6.5,CRITICAL URGENCY LACKS DETAIL,,Integration,RESOLVED,Integration
TRI-2282,Prevent Billing Errors b...,Pending,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2282,4.0,UNASSIGNED,,Billing System,ASSIGN TO SPECIALIST,Billing System
TRI-2281,Enhance Flexibility for ...,Pending,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2281,4.0,UNASSIGNED,,Enhancement,ASSIGN TO SPECIALIST,Enhancement
TRI-2280,Preserve Data Accuracy W...,Pending,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2280,4.0,UNASSIGNED,,Data Management,ASSIGN TO SPECIALIST,Data Management
TRI-2279,Support for Internationa...,Pending,,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2279,4.0,UNASSIGNED,,Other,ASSIGN TO SPECIALIST,Uncategorized
TRI-2278,Eliminate the need to ma...,Pending,,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2278,4.0,UNASSIGNED,,Other,ASSIGN TO SPECIALIST,Uncategorized
TRI-2274,CID- 1833- Jim Wells Del...,Closed,katilyn.wiggins@munibill@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2274,7.5,HIGH URGENCY LACKS DETAIL,1833.0,Other,RESOLVED,Uncategorized
TRI-2273,CID: 41 - Duplicate Late...,Waiting for customer,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2273,8.0,WAITING WITHOUT PROPER INVESTIGATION,41.0,Other,USE AS TEMPLATE,Data Issues
TRI-2272,CID -1823 - City of Buff...,Resolved,stephanie.williams@munib@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2272,7.5,HIGH URGENCY LACKS DETAIL,1823.0,Other,RESOLVED,Uncategorized
TRI-2271,Cedar Hill: Remove Billi...,Resolved,clyde.qasolli@munibillin@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2271,6.5,HIGH URGENCY LACKS DETAIL,,Billing System,RESOLVED,Billing System
TRI-2270,CID 1802 Hope Water - Va...,Closed,katilyn.wiggins@munibill@munibilling.com,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2270,7.5,Standard quality,1802.0,Other,RESOLVED,Uncategorized
TRI-2268,User Permissions for Demo,Closed,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2268,6.5,Standard quality,,Other,RESOLVED,Account Management
TRI-2267,Create Admin User for Pa...,Closed,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2267,6.5,Standard quality,,Other,RESOLVED,Account Management
TRI-2266,Melissa Haney - New Use...,Closed,katilyn.wiggins@munibill@munibilling.com,Low,Normal,https://jiramb.atlassian.net/browse/TRI-2266,6.5,Standard quality,,Other,RESOLVED,Request/Enhancement
TRI-2265,CID 1779: Create bill er...,Resolved,katilyn.wiggins@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2265,8.5,Standard quality,1779.0,Billing System,USE AS TEMPLATE,Billing System
TRI-2259,CID 1780: Millersville B...,Resolved,bhavana.savaram@munibill@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2259,8.5,HIGH URGENCY LACKS DETAIL,1780.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2258,CID: 414 Epcor/Harmony ...,Resolved,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2258,8.5,Standard quality,414.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2251,CID- 1823 - City of Buff...,Closed,samuel.aubin@munibilling@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2251,7.5,HIGH URGENCY LACKS DETAIL,1823.0,Other,RESOLVED,Uncategorized
TRI-2250,CID 1844 - Having Issues...,Resolved,nathaniel@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2250,7.5,HIGH URGENCY LACKS DETAIL,1844.0,Other,RESOLVED,System Issues
TRI-2249,CID 262 Update of Meters,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2249,3.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,262.0,Meter Management,URGENT: ASSIGN IMMEDIATELY,Meter Management
TRI-2248,Multivision Authenticati...,In Progress,bhavana.savaram@munibill@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2248,6.3,Standard quality,,Other,STANDARD PROCESSING,Uncategorized
TRI-2245,Arcadia: GLOBAL System S...,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2245,2.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,,System Performance,URGENT: ASSIGN IMMEDIATELY,System Performance
TRI-2244,CID: 413 - Can't add par...,Closed,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2244,8.5,Standard quality,413.0,Other,USE AS TEMPLATE,Request/Enhancement
TRI-2243,CID - 1823 - City of Buf...,Closed,samuel.aubin@munibilling@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2243,7.5,HIGH URGENCY LACKS DETAIL,1823.0,Other,RESOLVED,Uncategorized
TRI-2242,CID 45: Waste Water Solu...,Resolved,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2242,8.5,Standard quality,45.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2241,CID: 50- Payments not up...,Resolved,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2241,8.5,Standard quality,50.0,Payment Processing,USE AS TEMPLATE,Payment Processing
TRI-2240,CID 1800 Portage - AutoP...,Resolved,nathaniel@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2240,7.5,HIGH URGENCY LACKS DETAIL,1800.0,Other,RESOLVED,Uncategorized
TRI-2239,CID 960: Bent Creek Paym...,Closed,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2239,8.5,Standard quality,960.0,Payment Processing,USE AS TEMPLATE,Payment Processing
TRI-2238,CID 228: Energy Center P...,Waiting for support,nathaniel@munibilling.com,Medium,Normal,https://jiramb.atlassian.net/browse/TRI-2238,8.0,Standard quality,228.0,Other,USE AS TEMPLATE,Uncategorized
TRI-2235,CID- 1837 - Glen Lake Es...,Waiting for customer,,High,Normal,https://jiramb.atlassian.net/browse/TRI-2235,4.0,UNASSIGNED HIGH URGENCY; HIGH URGENCY LACKS DETAIL; WAITING WITHOUT PROPER INVESTIGATION,1837.0,Other,URGENT: ASSIGN SPECIALIST,Uncategorized
TRI-2234,CID 262 - Update Meter ...,Resolved,bhavana.savaram@munibill@munibilling.com,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2234,7.5,CRITICAL URGENCY LACKS DETAIL,262.0,Meter Management,RESOLVED,Meter Management
TRI-2233,CID 1415: Queen Anne's C...,Closed,,High,Normal,https://jiramb.atlassian.net/browse/TRI-2233,5.5,UNASSIGNED HIGH URGENCY; HIGH URGENCY LACKS DETAIL,1415.0,Other,URGENT: ASSIGN SPECIALIST,Uncategorized
