Ticket_Key,Summary,Status,Assignee,Urgency,Priority,JIRA_URL,TriQ_Score,Quality_Issues,Client_CID,Issue_Category,Action_Required,Refined_Category
TRI-2302,CID 1760:West Cocalico T...,In Progress,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2302,4.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,1760.0,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
TRI-2299,Stinson Water CID 1600 A...,Waiting for customer,clyde.qasolli@munibillin@munibilling.com,High,Normal,https://jiramb.atlassian.net/browse/TRI-2299,7.0,HIGH URGENCY LACKS DETAIL; WAITING WITHOUT PROPER INVESTIGATION,1600.0,Other,STANDARD PROCESSING,Uncategorized
TRI-2249,CID 262 Update of Meters,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2249,3.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,262.0,Meter Management,URGENT: ASSIGN IMMEDIATELY,Meter Management
TRI-2245,Arcadia: GLOBAL System S...,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2245,2.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,,System Performance,URGENT: ASSIGN IMMEDIATELY,System Performance
TRI-2235,CID- 1837 - Glen Lake Es...,Waiting for customer,,High,Normal,https://jiramb.atlassian.net/browse/TRI-2235,4.0,UNASSIGNED HIGH URGENCY; HIGH URGENCY LACKS DETAIL; WAITING WITHOUT PROPER INVESTIGATION,1837.0,Other,URGENT: ASSIGN SPECIALIST,Uncategorized
TRI-2218,CID- 1833 - Jim Wells - ...,Resolved,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2218,3.5,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,1833.0,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
TRI-2209,URGENT - GLOBAL - login ...,Resolved,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2209,2.5,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,,Customer Portal,URGENT: ASSIGN IMMEDIATELY,Customer Portal
TRI-2043,CID - 1784 - City of Laf...,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-2043,3.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,1784.0,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
TRI-1918,CID 97: Strasburg Boroug...,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-1918,4.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,97.0,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
TRI-1909,Enterprise / Riverwood -...,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-1909,2.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
TRI-1897,Customer Portal Access,Canceled,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-1897,2.0,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,,Customer Portal,URGENT: ASSIGN IMMEDIATELY,Customer Portal
TRI-1459,Emergency: Cedar Hill Do...,Resolved,,Critical,Normal,https://jiramb.atlassian.net/browse/TRI-1459,2.5,UNASSIGNED CRITICAL - SLA BREACH RISK; CRITICAL URGENCY LACKS DETAIL,,Other,URGENT: ASSIGN IMMEDIATELY,Uncategorized
